product_name,product_id,url,image,price,scraped_at
Terrazzo Hoodie,7774947967221,https://www.glossier.com/en-lt/products/terrazzo-hoodie,https://www.glossier.com/cdn/shop/files/glossier-terrazzo-hoodie-carousel-01_271x.png?v=1762199584,"€75,95",2026-04-20T20:40:18
Limited Edition Embroidered Cream Hoodie,8059543847157,https://www.glossier.com/en-lt/products/limited-edition-embroidered-cream-hoodie,https://www.glossier.com/cdn/shop/files/glossier-creamhoodie-carousel-01_271x.png?v=1762200429,"€75,95",2026-04-20T20:40:19
Three Eyed Smiley Mug,8878914076917,https://www.glossier.com/en-lt/products/three-eyed-smiley-mug,https://www.glossier.com/cdn/shop/files/glossier-mug-carousel-01_271x.png?v=1762201666,"€20,95",2026-04-20T20:40:20
Glossier Sweatshirt,8035307454709,https://www.glossier.com/en-lt/products/glossier-sweatshirt,https://www.glossier.com/cdn/shop/products/glossier-greysweatshirt-carousel-01-updated_271x.png?v=1762200267,"€63,95",2026-04-20T20:40:20
Field Greens Blanket,7774946722037,https://www.glossier.com/en-lt/products/field-greens-blanket,https://www.glossier.com/cdn/shop/files/glossier-field-greensblanket-carousel-01_271x.png?v=1762199572,"€75,95",2026-04-20T20:40:21
Glossier Utility Bag,8511286575349,https://www.glossier.com/en-lt/products/glossier-utility-bag,https://www.glossier.com/cdn/shop/files/glossier-carousel-utilitybag-01_271x.png?v=1762201240,"€63,95",2026-04-20T20:40:23
Duffle Bag,8081166794997,https://www.glossier.com/en-lt/products/duffle-bag,https://www.glossier.com/cdn/shop/files/glossier-dufflebag-carousel-01_271x.png?v=1762200544,"€63,95",2026-04-20T20:40:23
Classic Cap,8878915322101,https://www.glossier.com/en-lt/products/classic-cap,https://www.glossier.com/cdn/shop/files/glossier-denimcap-carousel-01_271x.png?v=1762201667,"€34,95",2026-04-20T20:40:24
Monochromes,8035307716853,https://www.glossier.com/en-lt/products/monochromes,https://www.glossier.com/cdn/shop/products/glossier-monochromes-clay-carousel-01_271x.png?v=1762200271,"€25,95",2026-04-20T20:40:26
Blush Duo,9317648990453,https://www.glossier.com/en-lt/products/blush-duo,https://www.glossier.com/cdn/shop/files/glossier-cloud-paint-set-carousel-01_271x.png?v=1756957907,"€46,95",2026-04-20T20:40:28
